"precinct","office","party_detailed","party_simplified","mode","votes","county_name","county_fips","jurisdiction_name","jurisdiction_fips","candidate","district","dataverse","year","stage","state","special","writein","state_po","state_fips","state_cen","state_ic","readme_check"
"Alton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",3,"BELKNAP",33001,"ALTON",3300101060,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Barnstead","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",2,"BELKNAP",33001,"BARNSTEAD",3300103220,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Belmont","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",1,"BELKNAP",33001,"BELMONT",3300104740,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Center Harbor","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",0,"BELKNAP",33001,"CENTER HARBOR",3300110660,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Gilford","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",4,"BELKNAP",33001,"GILFORD",3300128740,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Gilmanton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",2,"BELKNAP",33001,"GILMANTON",3300128980,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 1","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",1,"BELKNAP",33001,"LACONIA",3300140180,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 2","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",3,"BELKNAP",33001,"LACONIA",3300140180,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 3","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",1,"BELKNAP",33001,"LACONIA",3300140180,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 4","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",1,"BELKNAP",33001,"LACONIA",3300140180,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 5","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",2,"BELKNAP",33001,"LACONIA",3300140180,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 6","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",4,"BELKNAP",33001,"LACONIA",3300140180,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Meredith","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",3,"BELKNAP",33001,"MEREDITH",3300147140,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"New Hampton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",0,"BELKNAP",33001,"NEW HAMPTON",3300151540,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Sanbornton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",1,"BELKNAP",33001,"SANBORNTON",3300167300,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Tilton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",1,"BELKNAP",33001,"TILTON",3300177060,"MICHAEL BENNET","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Alton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",124,"BELKNAP",33001,"ALTON",3300101060,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Barnstead","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",58,"BELKNAP",33001,"BARNSTEAD",3300103220,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Belmont","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",98,"BELKNAP",33001,"BELMONT",3300104740,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Center Harbor","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",26,"BELKNAP",33001,"CENTER HARBOR",3300110660,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Gilford","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",184,"BELKNAP",33001,"GILFORD",3300128740,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Gilmanton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",68,"BELKNAP",33001,"GILMANTON",3300128980,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 1","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",65,"BELKNAP",33001,"LACONIA",3300140180,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 2","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",41,"BELKNAP",33001,"LACONIA",3300140180,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 3","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",50,"BELKNAP",33001,"LACONIA",3300140180,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 4","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",43,"BELKNAP",33001,"LACONIA",3300140180,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 5","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",17,"BELKNAP",33001,"LACONIA",3300140180,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 6","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",68,"BELKNAP",33001,"LACONIA",3300140180,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Meredith","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",146,"BELKNAP",33001,"MEREDITH",3300147140,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"New Hampton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",35,"BELKNAP",33001,"NEW HAMPTON",3300151540,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Sanbornton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",49,"BELKNAP",33001,"SANBORNTON",3300167300,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Tilton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",50,"BELKNAP",33001,"TILTON",3300177060,"JOSEPH R BIDEN","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Alton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",0,"BELKNAP",33001,"ALTON",3300101060,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Barnstead","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",0,"BELKNAP",33001,"BARNSTEAD",3300103220,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Belmont","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",1,"BELKNAP",33001,"BELMONT",3300104740,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Center Harbor","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",0,"BELKNAP",33001,"CENTER HARBOR",3300110660,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Gilford","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",2,"BELKNAP",33001,"GILFORD",3300128740,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Gilmanton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",0,"BELKNAP",33001,"GILMANTON",3300128980,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 1","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",0,"BELKNAP",33001,"LACONIA",3300140180,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 2","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",1,"BELKNAP",33001,"LACONIA",3300140180,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 3","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",0,"BELKNAP",33001,"LACONIA",3300140180,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 4","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",1,"BELKNAP",33001,"LACONIA",3300140180,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 5","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",0,"BELKNAP",33001,"LACONIA",3300140180,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Laconia Ward 6","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",0,"BELKNAP",33001,"LACONIA",3300140180,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Meredith","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",1,"BELKNAP",33001,"MEREDITH",3300147140,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"New Hampton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",0,"BELKNAP",33001,"NEW HAMPTON",3300151540,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Sanbornton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",1,"BELKNAP",33001,"SANBORNTON",3300167300,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Tilton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",1,"BELKNAP",33001,"TILTON",3300177060,"CORY BOOKER","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Alton","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",0,"BELKNAP",33001,"ALTON",3300101060,"MOSIE BOYD","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
"Barnstead","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",0,"BELKNAP",33001,"BARNSTEAD",3300103220,"MOSIE BOYD","statewide","president",2020,"pri","New Hampshire",FALSE,FALSE,"NH",33,12,4,FALSE
