"state","county","district","precinct","party","votes","candidate","office","dataverse","mode","writein","jurisdiction","state_po","state_fips","state_cen","state_ic","stage","year","special"
"New Hampshire","Belknap","statewide","Alton","republican",1932,"Chris Sununu","Governor","state","total","FALSE","Alton","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Barnstead","republican",1247,"Chris Sununu","Governor","state","total","FALSE","Barnstead","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Belmont","republican",1818,"Chris Sununu","Governor","state","total","FALSE","Belmont","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Center Harbor","republican",374,"Chris Sununu","Governor","state","total","FALSE","Center Harbor","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Gilford","republican",2299,"Chris Sununu","Governor","state","total","FALSE","Gilford","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Gilmanton","republican",1116,"Chris Sununu","Governor","state","total","FALSE","Gilmanton","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Laconia Ward 1","republican",818,"Chris Sununu","Governor","state","total","FALSE","Laconia","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Laconia Ward 2","republican",509,"Chris Sununu","Governor","state","total","FALSE","Laconia","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Laconia Ward 3","republican",575,"Chris Sununu","Governor","state","total","FALSE","Laconia","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Laconia Ward 4","republican",522,"Chris Sununu","Governor","state","total","FALSE","Laconia","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Laconia Ward 5","republican",418,"Chris Sununu","Governor","state","total","FALSE","Laconia","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Laconia Ward 6","republican",884,"Chris Sununu","Governor","state","total","FALSE","Laconia","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Meredith","republican",1976,"Chris Sununu","Governor","state","total","FALSE","Meredith","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","New Hampton","republican",653,"Chris Sununu","Governor","state","total","FALSE","New Hampton","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Sanbornton","republican",915,"Chris Sununu","Governor","state","total","FALSE","Sanbornton","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Tilton","republican",800,"Chris Sununu","Governor","state","total","FALSE","Tilton","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Alton","democrat",745,"Molly Kelly","Governor","state","total","FALSE","Alton","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Barnstead","democrat",699,"Molly Kelly","Governor","state","total","FALSE","Barnstead","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Belmont","democrat",858,"Molly Kelly","Governor","state","total","FALSE","Belmont","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Center Harbor","democrat",226,"Molly Kelly","Governor","state","total","FALSE","Center Harbor","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Gilford","democrat",1399,"Molly Kelly","Governor","state","total","FALSE","Gilford","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Gilmanton","democrat",593,"Molly Kelly","Governor","state","total","FALSE","Gilmanton","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Laconia Ward 1","democrat",436,"Molly Kelly","Governor","state","total","FALSE","Laconia","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Laconia Ward 2","democrat",346,"Molly Kelly","Governor","state","total","FALSE","Laconia","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Laconia Ward 3","democrat",457,"Molly Kelly","Governor","state","total","FALSE","Laconia","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Laconia Ward 4","democrat",374,"Molly Kelly","Governor","state","total","FALSE","Laconia","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Laconia Ward 5","democrat",271,"Molly Kelly","Governor","state","total","FALSE","Laconia","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Laconia Ward 6","democrat",497,"Molly Kelly","Governor","state","total","FALSE","Laconia","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Meredith","democrat",1216,"Molly Kelly","Governor","state","total","FALSE","Meredith","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","New Hampton","democrat",453,"Molly Kelly","Governor","state","total","FALSE","New Hampton","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Sanbornton","democrat",580,"Molly Kelly","Governor","state","total","FALSE","Sanbornton","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Tilton","democrat",540,"Molly Kelly","Governor","state","total","FALSE","Tilton","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Alton","libertarian",16,"Jilletta Jarvis","Governor","state","total","FALSE","Alton","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Barnstead","libertarian",43,"Jilletta Jarvis","Governor","state","total","FALSE","Barnstead","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Belmont","libertarian",34,"Jilletta Jarvis","Governor","state","total","FALSE","Belmont","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Center Harbor","libertarian",12,"Jilletta Jarvis","Governor","state","total","FALSE","Center Harbor","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Gilford","libertarian",34,"Jilletta Jarvis","Governor","state","total","FALSE","Gilford","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Gilmanton","libertarian",28,"Jilletta Jarvis","Governor","state","total","FALSE","Gilmanton","NH",33,12,4,"gen","2018","FALSE"
"New Hampshire","Belknap","statewide","Laconia Ward 1","libertarian",14,"Jilletta Jarvis","Governor","state","total","FALSE","Laconia","NH",33,12,4,"gen","2018","FALSE"
